redfinID	Region	per_change	Gen_Factor
124	"San Francisco, CA - Anza Vista"	1.40145525	0.817065193
125	"San Francisco, CA - Ashbury Heights / Parnassus"	1.413628285	0.824162218
126	"San Francisco, CA - Bayview"	2.79333928	1.62855025
127	"San Francisco, CA - Bernal Heights"	1.882135651	1.097307623
128	"San Francisco, CA - Bret Harte"	2.407881826	1.403823939
129	"San Francisco, CA - Buena Vista"	1.740070733	1.014482075
130	"San Francisco, CA - Candlestick Point State Recreation Area"	2.128789567	1.241109809
131	"San Francisco, CA - Castro"	1.708331626	0.995977795
132	"San Francisco, CA - Cathedral Hill"	1.924006657	1.121718921
133	"San Francisco, CA - Cayuga"	1.905065359	1.110675917
134	"San Francisco, CA - Clarendon Heights"	1.823740215	1.063262385
135	"San Francisco, CA - Corona Heights"	1.654761905	0.964746006
136	"San Francisco, CA - Crocker Amazon"	1.831800144	1.06796142
137	"San Francisco, CA - Dolores Heights"	1.499994528	0.874514772
138	"San Francisco, CA - Duboce Triangle"	1.556622661	0.907529652
139	"San Francisco, CA - Eureka Valley"	1.581092012	0.921795576
140	"San Francisco, CA - Excelsior"	1.990175406	1.160296094
141	"San Francisco, CA - Fairmount"	2.055703628	1.198499832
142	"San Francisco, CA - Golden Gate Heights"	1.857024442	1.082667487
143	"San Francisco, CA - Haight Ashbury"	1.242242908	0.724242491
144	"San Francisco, CA - Hunters Point"	2.945707071	1.717382497
145	"San Francisco, CA - Ingleside"	1.709957498	0.996925698
146	"San Francisco, CA - Inner Richmond"	1.791181687	1.044280373
147	"San Francisco, CA - Inner Sunset"	2.192673821	1.278355095
148	"San Francisco, CA - Laguna Honda"	1.994029628	1.162543151
149	"San Francisco, CA - Lake Street"	2.691842475	1.569376398
150	"San Francisco, CA - Lakeshore"	2.154250446	1.255953807
151	"San Francisco, CA - Laurel Heights-Jordan Park"	1.927523376	1.12376921
152	"San Francisco, CA - Lone Mountain"	1.540137913	0.897918846
153	"San Francisco, CA - Lower Haight"	1.745187464	1.01746519
154	"San Francisco, CA - Lower Nob Hill"	2.030208922	1.183636113
155	"San Francisco, CA - Lower Pacific Heights"	1.676906708	0.977656691
156	"San Francisco, CA - Marina District"	1.380768906	0.805004807
157	"San Francisco, CA - Merced Heights"	2.134744549	1.244581635
158	"San Francisco, CA - Mission Bay"	1.729747951	1.008463769
159	"San Francisco, CA - Mission District"	1.727493826	1.007149587
160	"San Francisco, CA - Mission Dolores"	1.839798489	1.07262455
161	"San Francisco, CA - Mission Terrace"	2.001280338	1.166770402
162	"San Francisco, CA - Nob Hill"	1.706580882	0.99495709
163	"San Francisco, CA - Noe Valley"	1.623182513	0.946334843
164	"San Francisco, CA - Oceanview"	2.182970571	1.272697984
165	"San Francisco, CA - Outer Mission"	1.708067573	0.995823849
166	"San Francisco, CA - Outer Richmond"	1.947297455	1.135297735
167	"San Francisco, CA - Outer Sunset"	1.808104105	1.054146345
168	"San Francisco, CA - Pacific Heights"	1.786609086	1.041614491
169	"San Francisco, CA - Panhandle"	1.571093119	0.915966102
170	"San Francisco, CA - Parkside"	1.810487841	1.055536092
171	"San Francisco, CA - Polk Gulch"	1.794441228	1.046180724
172	"San Francisco, CA - Portola"	1.911908473	1.114665535
173	"San Francisco, CA - Potrero Hill"	1.829420216	1.066573893
174	"San Francisco, CA - Presidio Heights"	1.156054566	0.673993655
175	"San Francisco, CA - Presidio Terrace"	0.885888555	0.516483636
176	"San Francisco, CA - Russian Hill"	2.384442583	1.390158579
177	"San Francisco, CA - Seacliff"	1.328690993	0.77464276
178	"San Francisco, CA - Silver Terrace"	2.040408163	1.189582393
179	"San Francisco, CA - South Beach"	1.56435069	0.912035185
180	"San Francisco, CA - South of Market"	1.683636259	0.9815801
181	"San Francisco, CA - St. Marys Park"	1.739060057	1.013892838
182	"San Francisco, CA - Sunnyside"	1.998496251	1.165147246
183	"San Francisco, CA - Telegraph Hill"	1.66821274	0.972588004
184	"San Francisco, CA - Tenderloin"	1.647277804	0.960382685
185	"San Francisco, CA - Union Street"	1.409690687	0.821866551
186	"San Francisco, CA - University Mound"	1.830050505	1.066941359
187	"San Francisco, CA - Upper Market"	2.010511372	1.172152206
188	"San Francisco, CA - Visitacion Valley"	1.87812605	1.094969978
189	"San Francisco, CA - West Portal"	1.910475926	1.113830342
190	"San Francisco, CA - Western Addition"	1.77771179	1.036427261
